model	step	usd
runpod:rtx-4090	pod-create vm7779mwwbwvyw	0.246840
runpod:rtx-4090	pod-create isc3u9xta3oy47	0.319723
runpod:rtx-4090	pod-create lmy2nya7i8ba2n	0.306083
runpod:rtx-4090	pod-create r2yck1p1qp1jgp	0.383598
runpod:rtx-4090	pod-create 6y4p3im4z9xfkq	0.386312
runpod:rtx-4090	pod-create gaif9jp3pbdjcj	0.359882
runpod:rtx-4090	pod-create ayebqqiu1ztw9n	0.382577
runpod:rtx-4090	pod-create 8ges4xvt11dd1b	0.387186
runpod:rtx-4090	pod-create jmahjcptjttzek	0.384858
runpod:rtx-4090	pod-create se0cih7csz2m8z	0.169544
runpod:rtx-4090	pod-create 0tpo3kkl5yc53f	0.086701
runpod:rtx-4090	pod-create 6m7msp08wu0oav	0.380368
runpod:rtx-4090	pod-create nc27uic26ifb2s	1.093333
