billing	card_id	codex_exit	model	usd
subscription	6a7bf386-cd95ebe7	0	gpt-5.6-terra	0.0
subscription	6a7bf4e8-dc0b86b0	0	gpt-5.6-terra	0.0
subscription	6a7bf620-33fd6a37	0	gpt-5.6-terra	0.0
subscription	6a7bf738-d7063ff9	0	gpt-5.6-terra	0.0
subscription	6a7bf747-0b2e3657	0	gpt-5.6-sol	0.0
subscription	6a7bf830-224b59e7	0	gpt-5.6-terra	0.0
subscription	6a7bf97a-538fd2db	0	gpt-5.6-terra	0.0
subscription	6a7bfcc3-c2e12393	0	gpt-5.6-terra	0.0
subscription	6a7bfe54-796f7239	0	gpt-5.6-terra	0.0
subscription	6a7bffe2-3f8f7a35	0	gpt-5.6-terra	0.0
subscription	6a7c0297-dd503b1e	0	gpt-5.6-terra	0.0
subscription	6a7c03a1-50eff599		gpt-5.6-sol	0.0
subscription	6a7c03b2-83a9c3fe		gpt-5.6-terra	0.0
subscription	6a7c056a-2f978116	0	gpt-5.6-terra	0.0
subscription	6a7c06c5-b3d9433e		gpt-5.6-sol	0.0
subscription	6a7c07b5-9bad24a6		gpt-5.6-sol	0.0
subscription	6a7c0bcc-c548d95e	0	gpt-5.6-sol	0.0
subscription	6a7cb671-6c65d3bf		gpt-5.6-sol	0.0
subscription	6a7cb935-cb202cd6	0	gpt-5.6-sol	0.0
subscription	6a7cb97c-133aa24a	0	gpt-5.6-sol	0.0
subscription	6a7cbac4-7cc5ff97	0	gpt-5.6-terra	0.0
