billing	card_id	codex_exit	model	usd
subscription	6a7d43f2-d270b001	0	gpt-5.6-sol	0.0
subscription	6a7d4408-b14a6115	0	gpt-5.6-terra	0.0
subscription	6a7d4449-eac250b6	0	gpt-5.6-sol	0.0
subscription	6a7d4734-787a122c	0	gpt-5.6-terra	0.0
subscription	6a7d4950-94bdf20b	0	gpt-5.6-sol	0.0
subscription	6a7d4a2c-76f11e59	0	gpt-5.6-luna	0.0
subscription	6a7d4de2-4fee4d3e	0	gpt-5.6-terra	0.0
subscription	6a7d4e43-d3f6d52d	0	gpt-5.6-sol	0.0
subscription	6a7d4f00-bdb3f756	0	gpt-5.6-terra	0.0
subscription	6a7d55bd-4b656e98	0	gpt-5.6-sol	0.0
subscription	6a7d5a91-27f4a108	0	gpt-5.6-terra	0.0
