billing	card_id	codex_exit	model	usd
subscription	6a852b39-f9863f26	0	gpt-5.6-terra	0.0
subscription	6a852d08-d200d584	0	gpt-5.6-sol	0.0
subscription	6a852da9-428a72b4	0	gpt-5.6-sol	0.0
subscription	6a852f4c-b68d8043	0	gpt-5.6-sol	0.0
subscription	6a853054-f347db70	0	gpt-5.6-sol	0.0
subscription	6a85305d-8aed08aa	0	gpt-5.6-sol	0.0
subscription	6a853136-818f74c2	0	gpt-5.6-terra	0.0
subscription	6a853198-b784db2f	0	gpt-5.6-sol	0.0
subscription	6a853282-f5f3eaf2	0	gpt-5.6-terra	0.0
subscription	6a8532e3-19863ee9		gpt-5.6-sol	0.0
